Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
Communication and Media Studies,COM ST,COM ST 11,1479,SMITH H A,6.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,28
Communication and Media Studies,COM ST,COM ST 11,1480,FARSCHMAN K V,11.0,12.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,33
Communication and Media Studies,COM ST,COM ST 11,1481,HOWARD B,12.0,12.0,8.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,41
Communication and Media Studies,COM ST,COM ST 11,3363,ANDRADE L M,16.0,9.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32
Communication and Media Studies,COM ST,COM ST 11,3375,PICARELLI R R,7.0,13.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,35
Communication and Media Studies,COM ST,COM ST 11,3386,SUNG M,4.0,9.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,25
Communication and Media Studies,COM ST,COM ST 11,3390,HEMMERT S B,10.0,8.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,34
Communication and Media Studies,COM ST,COM ST 11,3391,JAMES M L,24.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36
Communication and Media Studies,COM ST,COM ST 11,4090,HOWARD D B,18.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,35
Communication and Media Studies,COM ST,COM ST 11,4091,HOWARD B,5.0,6.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,32
Communication and Media Studies,COM ST,COM ST 11,4092,HOWARD B,13.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,34
Communication and Media Studies,COM ST,COM ST 11,4093,HOWARD D B,19.0,9.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,38
Communication and Media Studies,COM ST,COM ST 11,4094,MENJIVAR M I,8.0,12.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,27
Communication and Media Studies,COM ST,COM ST 11,4095,LEMONDS B W,11.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,32
Communication and Media Studies,COM ST,COM ST 11,4096,FARSCHMAN K V,9.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31
Communication and Media Studies,COM ST,COM ST 11,4097,HOWARD D B,21.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,36
Communication and Media Studies,COM ST,COM ST 11,4470,KWACK J B,16.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,6.0,34
Communication and Media Studies,COM ST,COM ST 11,4481,JAMES M L,15.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,27
Communication and Media Studies,COM ST,COM ST 12,1482,MENJIVAR M I,15.0,5.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,32
Communication and Media Studies,COM ST,COM ST 12,4466,KAIMIKAUA‐GREE,12.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,31
Communication and Media Studies,COM ST,COM ST 13,1484,MCNAMARA C V,7.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,26
Communication and Media Studies,COM ST,COM ST 14,1485,FOX N M,5.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,23
Communication and Media Studies,COM ST,COM ST 16,1486,ANDRADE L M,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
Communication and Media Studies,COM ST,COM ST 16,1487,SHAFFER J M,5.0,24.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,38
Communication and Media Studies,COM ST,COM ST 16,1488,ANDRADE L M,9.0,22.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35
Communication and Media Studies,COM ST,COM ST 16,1489,KAIMIKAUA‐GREE,19.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30
Communication and Media Studies,COM ST,COM ST 16,3388,WARD M M,4.0,15.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,27
Communication and Media Studies,COM ST,COM ST 21,1490,ANDRADE L M,24.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,35
Communication and Media Studies,COM ST,COM ST 21,1491,BROWN N A,12.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,20
Communication and Media Studies,COM ST,COM ST 21,1493,BROWN N A,10.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,29
Communication and Media Studies,COM ST,COM ST 21,3392,WARD M M,7.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26
Communication and Media Studies,COM ST,COM ST 21,3441,ANDRADE L M,10.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30
Communication and Media Studies,COM ST,COM ST 21,4464,MENJIVAR M I,25.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36
