Department,Subject,Course,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
Art,ART,ART 30A,SHIBATA J M,6,3,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9,22
Art,ART,ART 30C,OTA N T,10,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11,27
Art,ART,ART 31,HATTON C,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
Art,ART,ART 31,LOPEZ L G,8,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,14,30
Art,ART,ART 31,TRUJILLO M E,12,2,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6,23
Art,ART,ART 32,HATTON C,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
Art,ART,ART 32,LOPEZ L G,2,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8
Art,ART,ART 34A,LOPEZ L G,12,6,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1,24
Art,ART,ART 40A,BROMBERG T L,12,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,24
Art,ART,ART 40A,HARTMAN D G,44,9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,56
Art,ART,ART 40B,BROMBERG T L,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
Art,ART,ART 40B,HARTMAN D G,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
Art,ART,ART 40C,HARTMAN D G,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Art,ART,ART 43A,BROMBERG T L,8,2,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,17
Art,ART,ART 43B,BROMBERG T L,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Art,ART,ART 52A,PHILLIPS F,58,6,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5,75
Art,ART,ART 52A,WHEAT N R,12,3,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3,23
