Department,Subject,Course,Section,Instructor,A,B,C,D,F,IX,NP,P,RD,W,Total
Communication and Media Studies,FILM,FILM 40,2405,SMITH C W,16.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,32
Communication and Media Studies,FILM,FILM 40,2406,SMITH C W,15.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,30
Communication and Media Studies,FILM,FILM 50,2407,PLATT H H,7.0,8.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,27
Communication and Media Studies,JOURN,JOURN 1,2606,BLAIZE‐HOPKINS A N,7.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,21
Communication and Media Studies,JOURN,JOURN 1,2607,BLAIZE‐HOPKINS A N,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,21
Communication and Media Studies,JOURN,JOURN 1,2608,RUBIN S M,7.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,22
Communication and Media Studies,JOURN,JOURN 1,2609,OBSATZ S B,27.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,34
Communication and Media Studies,JOURN,JOURN 1,3595,OBSATZ S B,10.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,17
Communication and Media Studies,JOURN,JOURN 2,4513,OBSATZ S B,11.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,18
Communication and Media Studies,JOURN,JOURN 4A,4280,GIGGANS J H,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,6
Communication and Media Studies,JOURN,JOURN 8,2610,BLAIZE‐HOPKINS A N,16.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,31
Communication and Media Studies,JOURN,JOURN 15,4282,RUBIN S M,7.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,22
Communication and Media Studies,JOURN,JOURN 16,2611,RUBIN S M,10.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,34
Communication and Media Studies,JOURN,JOURN 17,2612,RUBIN S M,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3
Communication and Media Studies,JOURN,JOURN 17,2613,RUBIN S M,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Communication and Media Studies,JOURN,JOURN 21,2614,BURKHART G J,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,9
Communication and Media Studies,JOURN,JOURN 22,2615,BURKHART G J,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
Communication and Media Studies,JOURN,JOURN 43,4283,ADELMAN A,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12
Communication and Media Studies,MEDIA,MEDIA 1,2898,ROSENBERG V L,13.0,17.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,38
Communication and Media Studies,MEDIA,MEDIA 1,2899,RAZ J G,5.0,16.0,11.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,39
Communication and Media Studies,MEDIA,MEDIA 1,2900,COLEMAN D,11.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,28
Communication and Media Studies,MEDIA,MEDIA 1,2901,CHARLES H E,14.0,7.0,7.0,10.0,4.0,0.0,0.0,0.0,0.0,2.0,44
Communication and Media Studies,MEDIA,MEDIA 1,2902,BREWINGTON R H,16.0,2.0,7.0,2.0,12.0,0.0,0.0,0.0,0.0,1.0,40
Communication and Media Studies,MEDIA,MEDIA 1,2903,MOVIUS L,16.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,31
Communication and Media Studies,MEDIA,MEDIA 1,2904,RAZ J G,10.0,12.0,10.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,41
Communication and Media Studies,MEDIA,MEDIA 1,2905,CHICAS H K,10.0,13.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,39
Communication and Media Studies,MEDIA,MEDIA 1,2906,SAXON L N,11.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,29
Communication and Media Studies,MEDIA,MEDIA 1,2907,BREWER S L,12.0,9.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,13.0,37
Communication and Media Studies,MEDIA,MEDIA 1,2908,MOVIUS L,19.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,32
Communication and Media Studies,MEDIA,MEDIA 1,2909,BREWER S L,11.0,12.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,30
Communication and Media Studies,MEDIA,MEDIA 1,2910,CONLEY T,9.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,23
Communication and Media Studies,MEDIA,MEDIA 1,2911,DICKINSON L M,12.0,6.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,31
Communication and Media Studies,MEDIA,MEDIA 1,2912,STAMBLER L S,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,36
Communication and Media Studies,MEDIA,MEDIA 1,2913,SIMMONS R D,8.0,10.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0,37
Communication and Media Studies,MEDIA,MEDIA 1,2914,CHEN A H,11.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30
Communication and Media Studies,MEDIA,MEDIA 1,2915,CHICAS H K,24.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,34
Communication and Media Studies,MEDIA,MEDIA 1,2916,MITCHELL S V,11.0,13.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,34
Communication and Media Studies,MEDIA,MEDIA 1,2917,BREWER S L,22.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,33
Communication and Media Studies,MEDIA,MEDIA 1,2918,BREWER S L,20.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,30
Communication and Media Studies,MEDIA,MEDIA 1,2919,MOVIUS L,28.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,38
Communication and Media Studies,MEDIA,MEDIA 1,2920,MOVIUS L,20.0,7.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,37
Communication and Media Studies,MEDIA,MEDIA 1,3580,MOVIUS L,12.0,6.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,33
Communication and Media Studies,MEDIA,MEDIA 1,4363,SIMMONS R D,7.0,8.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,31
Communication and Media Studies,MEDIA,MEDIA 1,4364,STAMBLER L S,18.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,24
Communication and Media Studies,MEDIA,MEDIA 1,4366,BLAIZE‐HOPKINS A N,4.0,11.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,25
Communication and Media Studies,MEDIA,MEDIA 1,4367,BLAIZE‐HOPKINS A N,10.0,0.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,12.0,36
Communication and Media Studies,MEDIA,MEDIA 2,2921,SCHOFIELD J E,10.0,5.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,31
Communication and Media Studies,MEDIA,MEDIA 3,2922,MOVIUS L,14.0,7.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,29
Communication and Media Studies,MEDIA,MEDIA 10,2923,CHARLES H E,8.0,10.0,5.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,34
Communication and Media Studies,MEDIA,MEDIA 10,2924,GOUGIS M J,19.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,29
Communication and Media Studies,MEDIA,MEDIA 10,2925,GOUGIS M J,15.0,7.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,36
Communication and Media Studies,MEDIA,MEDIA 10,2926,DAVISON P R,3.0,17.0,5.0,1.0,11.0,0.0,0.0,0.0,0.0,3.0,40
Communication and Media Studies,MEDIA,MEDIA 10,2927,GOUGIS M J,14.0,9.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,36
Communication and Media Studies,MEDIA,MEDIA 10,2928,COLEMAN D,9.0,3.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,29
Communication and Media Studies,MEDIA,MEDIA 10,2929,HORWITZ J T,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
Communication and Media Studies,MEDIA,MEDIA 10,2930,SCHOFIELD J E,23.0,8.0,5.0,3.0,8.0,0.0,0.0,0.0,0.0,3.0,50
Communication and Media Studies,MEDIA,MEDIA 10,2931,SCHOFIELD J E,34.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
Communication and Media Studies,MEDIA,MEDIA 10,2932,GIGGANS J H,14.0,9.0,6.0,3.0,6.0,0.0,1.0,0.0,0.0,4.0,43
Communication and Media Studies,MEDIA,MEDIA 10,2933,OBSATZ S B,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44
Communication and Media Studies,MEDIA,MEDIA 10,2934,BREWER S L,12.0,11.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30
Communication and Media Studies,MEDIA,MEDIA 10,2935,OBSATZ S B,43.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,45
Communication and Media Studies,MEDIA,MEDIA 10,2936,DICKINSON L M,16.0,9.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,41
Communication and Media Studies,MEDIA,MEDIA 10,2937,MUNOZ M E,15.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,31
Communication and Media Studies,MEDIA,MEDIA 10,2938,MUNOZ M E,13.0,3.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,8.0,32
Communication and Media Studies,MEDIA,MEDIA 10,2939,PERNISCO N,19.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,28
Communication and Media Studies,MEDIA,MEDIA 10,2940,PERNISCO N,14.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,31
Communication and Media Studies,MEDIA,MEDIA 10,3502,GOLDSTEIN MARTIN M,24.0,8.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,39
Communication and Media Studies,MEDIA,MEDIA 10,4368,GOLDSTEIN MARTIN M,17.0,11.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,40
Communication and Media Studies,MEDIA,MEDIA 10,4369,GOLDSTEIN MARTIN M,12.0,10.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,34
Communication and Media Studies,MEDIA,MEDIA 10,4372,DICKINSON L M,17.0,7.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,6.0,39
