Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,RD,EW,W,Total
Art,ART,ART 75,1228,PITURRO D,9,2,0.0,1,0.0,1,1,2,0.0,0.0,4,20
Art,ARTS,ARTS 88A,1229,MEYER W J,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Art,ARTS,ARTS 88C,3528,SILVER E M,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24
Art,PHOTO,PHOTO 52,2977,DASTIN E R,17,9,3,0.0,3,0.0,0.0,0.0,0.0,0.0,2,34
Art,PHOTO,PHOTO 52,3557,HIRUGAMI E,7,10,2,0.0,2,1,0.0,0.0,0.0,0.0,2,24
Athletics and Kinesiology,VAR PE,VAR PE 9V,3228,THOMAS J L,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17
Athletics and Kinesiology,VAR PE,VAR PE 9W,3229,STRONG L M,6,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,14
Athletics and Kinesiology,VAR PE,VAR PE 11A,3230,MOSICH N W,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
Athletics and Kinesiology,VAR PE,VAR PE 11A,3231,MOSICH N W,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,35
Athletics and Kinesiology,VAR PE,VAR PE 11B,3232,HANK M E,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15
Athletics and Kinesiology,VAR PE,VAR PE 11B,3233,HANK M E,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,13
Athletics and Kinesiology,VAR PE,VAR PE 11B,3234,MOSICH N W,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
Athletics and Kinesiology,VAR PE,VAR PE 14V,3235,BARRON E A,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
Athletics and Kinesiology,VAR PE,VAR PE 14,3236,BARRON E A,3,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Athletics and Kinesiology,VAR PE,VAR PE 21V,3237,SHIMIZU R E,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,33
Athletics and Kinesiology,VAR PE,VAR PE 21V,3238,LEDWITH K F,49,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,3,56
Athletics and Kinesiology,VAR PE,VAR PE 43V,3239,PIERCE T L,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,27
