Department,Subject,Course,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
Art,AHIS,AHIS 2,3665,MEDVEDEV N,13.0,3.0,2.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,10.0,46
Art,AHIS,AHIS 2,4008,LEAPER L E,7.0,8.0,2.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,4.0,33
Art,AHIS,AHIS 3,1088,DONAHUE N J,73.0,25.0,3.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,14.0,128
Art,AHIS,AHIS 3,1089,DASTIN E R,41.0,23.0,5.0,2.0,19.0,0.0,0.0,0.0,1.0,0.0,13.0,104
Art,AHIS,AHIS 3,1090,MIHAYLOVICH K W,15.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,37
Art,AHIS,AHIS 5,1091,SIMMONS B B,27.0,21.0,5.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,5.0,67
Art,AHIS,AHIS 6,1092,SIMMONS B B,16.0,8.0,7.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,40
Art,AHIS,AHIS 11,1093,AHMADPOUR A,25.0,7.0,1.0,0.0,11.0,0.0,10.0,0.0,0.0,0.0,11.0,65
Art,AHIS,AHIS 11,1094,LEE O,13.0,2.0,3.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,36
Art,AHIS,AHIS 11,1095,THAYER J,23.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,37
Art,AHIS,AHIS 11,1096,MEYER W J,20.0,7.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,43
Art,AHIS,AHIS 11,3663,THAYER J,4.0,3.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,10.0,25
Art,AHIS,AHIS 17,1097,HALL RE S,12.0,4.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,32
Art,AHIS,AHIS 17,1098,LEE O,20.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,37
Art,AHIS,AHIS 17,1099,O'LEARY T F,5.0,4.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,31
Art,AHIS,AHIS 18,1100,SIMMONS B B,23.0,10.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,48
Art,AHIS,AHIS 72,1104,DASTIN E R,19.0,7.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,40
