Department,Subject,Course,Section,Instructor,A,B,C,D,F,NP,P,IX,RD,EW,W,Total
Art,ART,ART 20A,4029,MAMMARELLA C J,8,5,4,0.0,7,0.0,0.0,0.0,0.0,0.0,5,29
Art,ART,ART 20A,4030,OTA N T,12,7,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,8,28
Art,ART,ART 20B,1196,MAMMARELLA C J,11,4,2,0.0,2,0.0,2,0.0,0.0,0.0,7,28
Art,ART,ART 20B,1197,KARLSEN A M,15,3,1,0.0,6,0.0,0.0,0.0,0.0,0.0,3,28
Art,ART,ART 20B,1198,HATTON C,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,27
Art,ART,ART 21A,1199,TRUJILLO M E,6,5,3,0.0,3,0.0,0.0,0.0,0.0,0.0,4,21
Art,ART,ART 21A,1200,TRUJILLO M E,14,3,1,1,2,0.0,0.0,0.0,0.0,0.0,4,25
Art,ART,ART 21A,4031,KOMPANEYETS M,17,3,1,3,0.0,0.0,1,0.0,0.0,0.0,2,27
Art,ART,ART 21B,1201,TRUJILLO M E,13,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2,17
Art,ART,ART 30A,1202,AARONS R R,8,0.0,0.0,0.0,2,1,0.0,0.0,0.0,0.0,1,12
Art,ART,ART 30A,1203,AARONS R R,8,5,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,4,18
Art,ART,ART 30B,1204,AARONS R R,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Art,ART,ART 30C,1205,OTA N T,18,4,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,4,27
Art,ART,ART 31,1206,TRUJILLO M E,6,1,2,1,3,0.0,0.0,0.0,0.0,0.0,7,20
Art,ART,ART 31,1207,HATTON C,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,14
Art,ART,ART 31,1208,ZARCONE J,5,3,3,0.0,1,0.0,0.0,0.0,0.0,0.0,3,15
Art,ART,ART 32,1209,HATTON C,6,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10
Art,ART,ART 32,1210,ZARCONE J,2,1,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1,6
Art,ART,ART 34A,1211,BADGER C P,16,0.0,0.0,0.0,6,0.0,1,0.0,0.0,0.0,3,26
Art,ART,ART 40A,3742,PITURRO D,3,4,3,0.0,7,1,0.0,0.0,0.0,0.0,1,19
Art,ART,ART 40A,4032,BROMBERG T L,12,3,1,0.0,3,0.0,0.0,0.0,0.0,0.0,3,22
Art,ART,ART 40B,3743,PITURRO D,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,3
Art,ART,ART 40B,4033,BROMBERG T L,0.0,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2
Art,ART,ART 40C,3744,PITURRO D,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
Art,ART,ART 52A,1224,WILLIAMS A E,9,3,2,1,1,0.0,0.0,0.0,0.0,0.0,6,22
Art,ART,ART 52A,1227,GONZALES L,5,5,3,1,5,0.0,0.0,0.0,0.0,0.0,5,24
Art,ART,ART 52A,3731,WILLIAMS A E,4,2,3,1,5,0.0,0.0,0.0,0.0,0.0,5,20
Art,ART,ART 60,1230,THOMASON M M,7,7,1,0.0,2,0.0,0.0,0.0,0.0,0.0,3,20
Art,ART,ART 74,1232,BADGER C P,8,1,1,0.0,4,0.0,0.0,0.0,0.0,0.0,9,23
Art,ART,ART 75,1233,PITURRO D,6,3,0.0,0.0,1,0.0,0.0,2,0.0,0.0,2,14
Art,ARTS,ARTS 88B,1235,MEYER W J,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Art,PHOTO,PHOTO 52,3272,DASTIN E R,14,6,1,3,7,0.0,0.0,0.0,0.0,0.0,1,32
Art,PHOTO,PHOTO 52,4340,DASTIN E R,18,6,3,2,2,0.0,0.0,0.0,0.0,0.0,3,34
Business,ACCTG,ACCTG 1,1001,PLATZ W A,12,9,3,3,3,0.0,0.0,0.0,0.0,0.0,7,37
Business,ACCTG,ACCTG 1,1002,KNIGHT R B,13,8,4,6,2,0.0,1,0.0,0.0,0.0,11,45
Business,ACCTG,ACCTG 1,1003,RUBIO C,10,9,3,3,4,0.0,0.0,0.0,0.0,0.0,9,38
Business,ACCTG,ACCTG 1,1004,BROOKINS G T,14,6,5,0.0,6,0.0,0.0,0.0,0.0,0.0,10,41
Business,ACCTG,ACCTG 1,1005,MARES S,9,9,5,1,6,0.0,0.0,0.0,0.0,0.0,5,35
Business,ACCTG,ACCTG 1,1006,LOPEZ EN,19,10,3,0.0,7,1,0.0,0.0,0.0,0.0,3,43
Business,ACCTG,ACCTG 1,1007,TRIPPETTI V J,22,8,3,1,2,1,0.0,0.0,0.0,0.0,4,41
Business,ACCTG,ACCTG 1,1008,LOPEZ EN,25,1,8,0.0,6,0.0,0.0,0.0,0.0,0.0,5,45
Business,ACCTG,ACCTG 1,1009,MAIER L S,16,10,4,1,4,0.0,0.0,0.0,0.0,0.0,5,40
Business,ACCTG,ACCTG 1,1010,PLATZ W A,22,7,4,0.0,5,0.0,1,0.0,0.0,0.0,7,46
Business,ACCTG,ACCTG 1,1011,BROOKINS G T,10,13,4,0.0,4,0.0,1,0.0,0.0,0.0,7,39
Business,ACCTG,ACCTG 1,1012,ANDRE J M,15,7,6,2,0.0,0.0,1,0.0,0.0,0.0,11,42
Business,ACCTG,ACCTG 1,1014,FITZGERALD R L,13,5,5,4,9,1,0.0,0.0,0.0,0.0,3,40
Business,ACCTG,ACCTG 1,1015,FITZGERALD R L,8,7,3,3,7,1,0.0,0.0,0.0,0.0,9,38
Business,ACCTG,ACCTG 1,1016,HAIG J S,26,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,40
Business,ACCTG,ACCTG 1,1017,HAIG J S,12,3,3,1,0.0,0.0,2,0.0,0.0,0.0,7,28
Business,ACCTG,ACCTG 1,3687,BROOKINS G T,5,9,5,2,14,0.0,0.0,0.0,0.0,0.0,6,41
Business,ACCTG,ACCTG 1,4001,MAIER L S,22,5,5,1,2,0.0,0.0,0.0,0.0,0.0,5,40
Business,ACCTG,ACCTG 1,4002,HICKS L E,11,4,6,1,8,0.0,0.0,0.0,0.0,0.0,13,43
Business,ACCTG,ACCTG 2,1018,TRIPPETTI V J,11,20,9,0.0,2,0.0,0.0,0.0,0.0,0.0,5,47
Business,ACCTG,ACCTG 2,1019,LAMARRA F,37,8,1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,52
Business,ACCTG,ACCTG 2,1020,BROOKINS G T,13,8,4,1,1,1,0.0,0.0,0.0,0.0,3,31
Business,ACCTG,ACCTG 2,1021,KNIGHT R B,13,9,6,0.0,3,0.0,0.0,1,0.0,0.0,10,42
Business,ACCTG,ACCTG 2,1022,HUANG AI M,30,5,4,0.0,2,0.0,0.0,0.0,0.0,0.0,2,43
Business,ACCTG,ACCTG 2,1024,MARES S,9,12,3,0.0,4,0.0,0.0,0.0,0.0,0.0,10,38
Business,ACCTG,ACCTG 2,1026,DANIEL C,7,5,6,4,5,0.0,0.0,0.0,0.0,0.0,5,32
