Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,W,EW,Total
Athletics and Kinesiology,VAR PE,VAR PE 11B,3269,HANK M E,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29
Athletics and Kinesiology,VAR PE,VAR PE 11B,3270,MOSICH N W,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,22
Athletics and Kinesiology,VAR PE,VAR PE 14V,3271,BARRON E A,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14
Athletics and Kinesiology,VAR PE,VAR PE 14W,3272,BARRON E A,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
Athletics and Kinesiology,VAR PE,VAR PE 21V,3273,LEDWITH K F,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48
Athletics and Kinesiology,VAR PE,VAR PE 21V,3274,COX SH K,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25
Athletics and Kinesiology,VAR PE,VAR PE 43V,3275,PIERCE T L,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29
Athletics and Kinesiology,VAR PE,VAR PE 43W,3276,BENDITSON A,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
Athletics and Kinesiology,VAR PE,VAR PE 50V,3277,ESKRIDGE B M,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17
Athletics and Kinesiology,VAR PE,VAR PE 50W,3278,ESKRIDGE B M,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
Athletics and Kinesiology,VAR PE,VAR PE 57W,3279,CAMMAYO C,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
Athletics and Kinesiology,VAR PE,VAR PE 60,3280,SILVA L,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Athletics and Kinesiology,VAR PE,VAR PE 60,3281,DRUCKMAN C J,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Athletics and Kinesiology,VAR PE,VAR PE 60,3282,THOMAS J L,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
Athletics and Kinesiology,VAR PE,VAR PE 60,3283,LEDWITH K F,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7
Athletics and Kinesiology,VAR PE,VAR PE 60,3328,ZAMIR L,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Athletics and Kinesiology,VAR PE,VAR PE 60,3367,SILVA L,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
