Department,Subject,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,RD,EW,W,Total
Communication and Media Studies,MEDIA,MEDIA 4,2797,RAZ J G,13,15,2,1,0.0,0.0,0.0,0.0,0.0,2,0.0,33
Communication and Media Studies,MEDIA,MEDIA 10,2798,GOLDSTEIN MARTIN M,19,4,2,2,2,2,0.0,0.0,0.0,8,0.0,39
Communication and Media Studies,MEDIA,MEDIA 10,2799,GOLDSTEIN MARTIN M,20,5,0.0,1,3,0.0,0.0,0.0,0.0,3,0.0,32
Communication and Media Studies,MEDIA,MEDIA 10,2800,SCHOFIELD J E,31,6,0.0,1,0.0,1,0.0,0.0,0.0,1,0.0,40
Communication and Media Studies,MEDIA,MEDIA 10,2801,PERNISCO N,22,3,2,0.0,3,0.0,0.0,0.0,0.0,5,0.0,35
Communication and Media Studies,MEDIA,MEDIA 10,2802,OBSATZ S B,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
Communication and Media Studies,MEDIA,MEDIA 10,2804,GOUGIS M J,24,4,0.0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,33
Communication and Media Studies,MEDIA,MEDIA 10,2805,OBSATZ S B,36,1,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,39
Communication and Media Studies,MEDIA,MEDIA 10,2807,PERNISCO N,20,5,1,0.0,5,0.0,0.0,0.0,0.0,6,0.0,37
Communication and Media Studies,MEDIA,MEDIA 10,2808,GOUGIS M J,19,6,2,0.0,6,0.0,0.0,0.0,0.0,1,0.0,34
Communication and Media Studies,MEDIA,MEDIA 10,2809,SCHOFIELD J E,25,6,1,1,1,0.0,0.0,0.0,0.0,2,0.0,36
Communication and Media Studies,MEDIA,MEDIA 10,3431,OBSATZ S B,42,3,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0,51
Communication and Media Studies,MEDIA,MEDIA 12,2810,SHAW R D,10,3,1,0.0,3,0.0,0.0,4,0.0,3,0.0,24
Communication and Media Studies,MEDIA,MEDIA 13,2811,BREWINGTON R H,8,1,0.0,1,0.0,0.0,0.0,0.0,0.0,9,0.0,19
Communication and Media Studies,MEDIA,MEDIA 17,2812,CARLUCCI M A,8,2,0.0,0.0,1,0.0,0.0,1,0.0,2,0.0,14
Communication and Media Studies,MEDIA,MEDIA 18,4217,ADELMAN A,5,6,1,0.0,1,1,0.0,0.0,0.0,2,0.0,16
Communication and Media Studies,MEDIA,MEDIA 20,2814,SHAW R D,11,2,3,3,1,0.0,0.0,0.0,0.0,7,0.0,27
Communication and Media Studies,MEDIA,MEDIA 21,3381,STOWELL R,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
Communication and Media Studies,MEDIA,MEDIA 21,4219,CAPTOR R,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,15
Communication and Media Studies,MEDIA,MEDIA 21,4311,EDWARDS S,8,5,3,0.0,0.0,0.0,0.0,1,0.0,1,0.0,18
Communication and Media Studies,MEDIA,MEDIA 46,3379,CAREY R T,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
Communication and Media Studies,MEDIA,MEDIA 48,2816,SHAW R D,8,4,0.0,0.0,2,0.0,0.0,4,0.0,2,0.0,20
Communication and Media Studies,MEDIA,MEDIA 88B,2818,GRASS N L,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Communication and Media Studies,MEDIA,MEDIA 90B,2820,GRASS N L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,2
Communication and Media Studies,MEDIA,MEDIA 90C,3471,SHAW R D,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1
Communication and Media Studies,PHOTO,PHOTO 13,3032,BURKHART G J,3,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8
Communication and Media Studies,PHOTO,PHOTO 14,3033,BURKHART G J,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Cosmetology,COSM,COSM 10A,1590,HORN S L,20,10,2,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,33
Cosmetology,COSM,COSM 10A,1591,MANUEL S M,13,4,3,1,2,0.0,0.0,0.0,0.0,1,0.0,24
Cosmetology,COSM,COSM 10A,1592,CEBALLOS B A,20,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2,0.0,23
