Department,Subject,Course,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
Education and Early Childhood,ECE,ECE 45,JOACHIM S L,20.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,36
Education and Early Childhood,ECE,ECE 45,PARISE W A,9.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,22
Education and Early Childhood,ECE,ECE 46,ELAM E J,18.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,26
Education and Early Childhood,ECE,ECE 46,HUFF G F,21.0,4.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,32
Education and Early Childhood,ECE,ECE 48,KHOKHA E W,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15
Education and Early Childhood,ECE,ECE 49,JOACHIM S L,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13
Education and Early Childhood,ECE,ECE 51,HEIMANN R Y,12.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,20
Education and Early Childhood,ECE,ECE 64,ANDREWS T D,16.0,7.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,29
Education and Early Childhood,ECE,ECE 64,POURROY D M,23.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36
Education and Early Childhood,ECE,ECE 71,MCGRATH M T,13.0,8.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,28
Education and Early Childhood,EDUC,EDUC 12,PEREZ‐FERNANDEZ L,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12
English,ENGL,ENGL 1,ADAMS J J,2.0,3.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,24
English,ENGL,ENGL 1,AGHABEGIAN DIANA E,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,19
English,ENGL,ENGL 1,ALLEN J R,2.0,3.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,24
English,ENGL,ENGL 1,ARIEFF D E,12.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21
English,ENGL,ENGL 1,BARHAM A C,1.0,3.0,3.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,24
English,ENGL,ENGL 1,BLACKWELL N,3.0,10.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,17.0,45
English,ENGL,ENGL 1,BOSTICK J D,4.0,7.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,44
English,ENGL,ENGL 1,BRIGSTOCKE J W,5.0,12.0,3.0,0.0,19.0,0.0,4.0,0.0,0.0,0.0,21.0,64
English,ENGL,ENGL 1,CAGGIANO S E,3.0,8.0,10.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,17.0,50
